X;Y;ID_USIG;NRO_BANCO;NOMBRE;OBJETO;SUCURSAL;DIRECCION;BARRIO;COMUNA;FUNCION;TELEFONO;DETALLE;DIREC_NORM;DIREC_GIS
-58,440614;-34,598457;122;7;BANCO PATAGONIA;BANCO;CABA;AV. CORRIENTES 5376 / 5380;VILLA CRESPO;COMUNA 15;VISUAL Y AUDIO;;;CORRIENTES AV. 5376;5376 CORRIENTES AV.
-58,440703;-34,598374;36;3;ICBC;BANCO;VILLA CRESPO;AV. CORRIENTES 5386;VILLA CRESPO;COMUNA 15;VISUAL Y AUDIO;;;CORRIENTES AV. 5386;5386 CORRIENTES AV.
-58,377181;-34,597782;79;5;HSBC;BANCO;CAPITAL FEDERAL;PARAGUAY 720;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;PARAGUAY 720;720 PARAGUAY
-58,497856;-34,59761;82;5;HSBC;BANCO;CAPITAL FEDERAL;CUENCA 3479;VILLA DEL PARQUE;COMUNA 11;VISUAL Y AUDIO;;;CUENCA 3479;3479 CUENCA
-58,375195;-34,596281;116;7;BANCO PATAGONIA;BANCO;CABA;FLORIDA 999;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;FLORIDA 999;999 FLORIDA
-58,386909;-34,595986;40;3;ICBC;BANCO;RETIRO;URUGUAY 1081;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;URUGUAY 1081;1081 URUGUAY
-58,387768;-34,595927;50;4;SANTANDER RIO;BANCO;CAPITAL FEDERAL;AV. SANTA FE 1450;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;SANTA FE AV. 1450;1450 SANTA FE AV.
-58,385522;-34,595847;4;1;MACRO;BANCO;AV. SANTA FE;AV. SANTA FE 1288;RETIRO;COMUNA 1;VISUAL Y AUDIO;;INGRESO A NIVEL;SANTA FE AV. 1288;1288 SANTA FE AV.
-58,372985;-34,595606;76;5;HSBC;BANCO;CAPITAL FEDERAL;RECONQUISTA 1047;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;RECONQUISTA 1047;1047 RECONQUISTA
-58,398851;-34,59551;5;1;MACRO;BANCO;BARRIO NORTE;AV. SANTA FE 2220;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;INGRESO A NIVEL;SANTA FE AV. 2220;2220 SANTA FE AV.
-58,380887;-34,595492;41;3;ICBC;BANCO;RETIRO;AV. SANTA FE 964;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;SANTA FE AV. 964;964 SANTA FE AV.
-58,3728;-34,595486;114;7;BANCO PATAGONIA;BANCO;CABA;AV. LEANDRO ALEM 1064;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;ALEM, LEANDRO N. AV. 1064;1064 ALEM, LEANDRO N. AV.
-58,377942;-34,595233;1;1;MACRO;BANCO;PLAZA SAN MARTIçN;AV. SANTA FE  784;RETIRO;COMUNA 1;VISUAL, AUDIO Y RAMPA;;;SANTA FE AV. 784;784 SANTA FE AV.
-58,392886;-34,594059;19;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. CALLAO 1279;RECOLETA;COMUNA 2;VISUAL, AUDIO Y RAMPA;4813-4666;;CALLAO AV. 1279;1279 CALLAO AV.
-58,373395;-34,593344;89;5;HSBC;BANCO;CAPITAL FEDERAL;SAN MARTIN 1225;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;SAN MARTIN 1225;1225 SAN MARTIN
-58,373395;-34,593344;90;5;HSBC;BANCO;CAPITAL FEDERAL;SAN MARTIN 1225;RETIRO;COMUNA 1;VISUAL Y AUDIO;;;SAN MARTIN 1225;1225 SAN MARTIN
-58,405856;-34,593009;20;2;COMAFI;BANCO;CAPITAL FEDERAL;AV. SANTA FE 2762;RECOLETA;COMUNA 2;VISUAL, AUDIO Y RAMPA;4823-3119;SOLO A CAJERO;SANTA FE AV. 2762;2762 SANTA FE AV.
-58,401028;-34,592049;28;3;ICBC;BANCO;RECOLETA;AV. PUEYRREDON 1657;RECOLETA;COMUNA 2;VISUAL Y AUDIO;;;PUEYRREDON AV. 1657;1657 PUEYRREDON AV.
